# cu 	 al 	 meanFluxRatio 	 sigma 	 alt_meanFluxRatio 	 alt_sigma
0	0	0.941728	0.581423	0.77652	0.700593
0	1	0.926636	0.548543	0.77411	0.688036
0	2	0.918586	0.518347	0.778333	0.668802
0	3	0.909026	0.489814	0.783249	0.667282
0	4	0.893922	0.462888	0.776988	0.646032
0	5	0.884144	0.438858	0.778542	0.635771
0	6	0.877224	0.417896	0.780482	0.624063
0	7	0.868847	0.39656	0.781672	0.616522
0	8	0.856545	0.377308	0.775264	0.602964
0	9	0.849523	0.360086	0.774122	0.586836
0	10	0.846605	0.341557	0.779776	0.587066
1	0	0.92958	0.515123	0.792509	0.689105
1	1	0.914585	0.483794	0.791837	0.66963
1	2	0.905993	0.459137	0.793843	0.65944
1	3	0.897696	0.434194	0.796032	0.648591
1	4	0.890637	0.412289	0.797056	0.639481
1	5	0.882223	0.39328	0.796396	0.620005
1	6	0.869638	0.369374	0.793044	0.605512
1	7	0.85993	0.348631	0.789103	0.602607
1	8	0.85817	0.332063	0.794652	0.594401
1	9	0.853638	0.319991	0.79383	0.584219
1	10	0.845242	0.303599	0.79156	0.571546
2	0	0.910306	0.449037	0.80103	0.665939
2	1	0.903275	0.425309	0.804241	0.657849
2	2	0.89396	0.401634	0.803594	0.641305
2	3	0.890891	0.385856	0.808629	0.631957
2	4	0.881984	0.360686	0.807266	0.619751
2	5	0.877473	0.34447	0.80987	0.61298
2	6	0.868823	0.324551	0.80836	0.599712
2	7	0.857978	0.308412	0.801014	0.582911
2	8	0.857883	0.295457	0.807756	0.575546
2	9	0.851962	0.280969	0.805035	0.571415
2	10	0.841863	0.26434	0.799662	0.560774
3	0	0.906683	0.399925	0.818366	0.654303
3	1	0.898859	0.373853	0.820778	0.649021
3	2	0.891393	0.356734	0.81956	0.62943
3	3	0.884218	0.336699	0.818465	0.621375
3	4	0.878522	0.318933	0.820608	0.606477
3	5	0.874409	0.302814	0.821838	0.604538
3	6	0.868131	0.288334	0.819356	0.590616
3	7	0.861035	0.271862	0.817038	0.573531
3	8	0.856902	0.258441	0.818238	0.570861
3	9	0.850556	0.244785	0.814853	0.561237
3	10	0.849591	0.23261	0.817297	0.558856
4	0	0.899794	0.348295	0.831895	0.653155
4	1	0.893173	0.33136	0.831701	0.629943
4	2	0.888768	0.314348	0.832968	0.621092
4	3	0.882065	0.297228	0.831376	0.620292
4	4	0.877157	0.279278	0.832111	0.604626
4	5	0.874778	0.265895	0.83408	0.589387
4	6	0.867888	0.251704	0.830922	0.585825
4	7	0.864294	0.239584	0.831241	0.581573
4	8	0.86117	0.227453	0.831474	0.564479
4	9	0.854832	0.213115	0.828824	0.55884
4	10	0.84971	0.201905	0.825528	0.550621
5	0	0.895833	0.306769	0.842675	0.641405
5	1	0.893208	0.290564	0.845905	0.62849
