# cu 	 al 	 PMT_L 	 PMT_R 	 sig_L 	 sig_R
0	0	278.902	2915.55	85.2469	1237.3
0	1	310.356	3052.86	93.053	1240.52
0	2	335.036	3180.53	100.82	1247.85
0	3	363.946	3304.23	107.506	1245.18
0	4	393.428	3465.5	115.329	1260.71
0	5	427.851	3600.89	124.973	1269
0	6	461.084	3739.49	134.923	1264.09
0	7	491.697	3886.78	143.692	1266.49
0	8	527.334	4065.12	153.878	1283.1
0	9	561.986	4228.75	160.879	1306.08
0	10	599.419	4364.29	173.155	1283.08
1	0	303.884	3134.61	90.9292	1218.05
1	1	335.025	3284.81	105.393	1206.3
1	2	366.171	3423.52	108.865	1218.29
1	3	398.518	3572.54	117.043	1207.34
1	4	428.368	3718.28	126.503	1224.24
1	5	465.619	3881.66	137.637	1228.04
1	6	500.19	4042.52	145.749	1221.21
1	7	534.346	4214.25	155.18	1236.97
1	8	570.686	4372.83	168.493	1233.44
1	9	609.46	4551.77	178.686	1263.93
1	10	655.985	4728.05	187.217	1258.21
2	0	329.475	3424.54	98.3563	1197.42
2	1	363.066	3571.05	110.556	1189.99
2	2	395.652	3729.12	117.274	1200.65
2	3	430.806	3881.65	126.879	1193.76
2	4	465.967	4037.42	141.625	1192.1
2	5	503.367	4206.54	149.736	1195.22
2	6	539.796	4377.23	157.432	1182.33
2	7	586.029	4576.77	171.023	1208.03
2	8	620.393	4740.88	180.446	1193.63
2	9	667.51	4936.69	194.314	1208.09
2	10	718.18	5150.53	207.262	1225.1
3	0	354.57	3738.32	107.366	1190.37
3	1	397.977	3897.43	138.151	1171.23
3	2	427.092	4068.25	128.574	1178.16
3	3	467.526	4240.56	138.007	1178.82
3	4	503.312	4405.16	150.666	1169.75
3	5	542.609	4589.79	160.689	1171.96
3	6	585.163	4787.55	170.96	1169.98
3	7	632.037	4984.53	186.183	1167.61
3	8	677.328	5175.24	199.95	1163.82
3	9	728.433	5396.98	210.923	1173.22
3	10	788.281	5601.72	226.938	1175.56
4	0	382.422	4112.9	118.457	1176.22
4	1	420.539	4293.34	126.549	1169.57
4	2	461.196	4467.08	140.156	1160.64
4	3	502.338	4661.7	149.031	1160.45
4	4	540.364	4841.82	159.75	1143.42
4	5	588.583	5039.03	174.247	1153.35
4	6	639.069	5254.34	190.44	1139.35
4	7	684.426	5466.66	199.191	1145.21
4	8	748.448	5680.37	233.973	1132.68
4	9	795.329	5904.19	230.758	1131.13
4	10	856.511	6162.48	247.939	1143.97
5	0	411.197	4562	124.469	1176.01
5	1	451.43	4751.31	136.218	1161.54
5	2	496.759	4952.7	149.763	1163.11
5	3	536.85	5154.68	160.02	1155.91
5	4	590.799	5368.99	174.547	1143.67
5	5	637.987	5584.52	188.684	1134.54
5	6	692.165	5780.36	202.237	1114.22
5	7	752.351	6038.03	220.078	1124.4
5	8	812.884	6270.23	242.38	1114.55
5	9	871.868	6527.54	256.01	1118.23
5	10	945.111	6798.62	274.296	1109.7
6	0	442.434	5087.9	134.405	1156.63
6	1	486.908	5301.89	147.027	1146.5
6	2	534.682	5526.13	159.078	1147.49
6	3	586.974	5759.89	177.511	1156.71
6	4	636.981	5970.54	193.506	1142.15
6	5	694.742	6205.18	206.75	1128.94
6	6	754.392	6452.55	223.396	1116.18
6	7	815.232	6692.72	236.954	1102.56
6	8	883.751	6984.42	257.025	1105.6
6	9	953.865	7267.99	275.963	1101.58
6	10	1039.09	7557.33	305.97	1094.45
7	0	473.873	5743.95	144.858	1174.28
7	1	527.192	5966.76	161.377	1167.98
7	2	573.117	6203.11	173.717	1174.1
7	3	634.471	6449.58	197.307	1145.6
7	4	691.996	6706.09	207.096	1143.99
7	5	751.814	6970.65	220.572	1139.33
7	6	821.178	7226.78	243.833	1125.12
7	7	889.318	7539.08	259.228	1124.35
7	8	966.809	7824.55	281.322	1110.67
7	9	1061.88	8156.2	308.985	1117
7	10	1152.55	8476.2	333.409	1108.96
8	0	512.845	6527.82	158.336	1208.64
8	1	569.584	6798.9	175.274	1210.97
8	2	627.84	7048.05	189.547	1194.34
8	3	686.223	7310.98	208.948	1174.06
8	4	747.895	7591.6	224.747	1178.95
8	5	826.782	7912.97	246.232	1168.91
8	6	896.246	8201.12	266.275	1148.14
8	7	976.852	8533.91	290.207	1153.93
8	8	1073.23	8900.03	316.397	1143.86
8	9	1178.47	9246.9	339.589	1129.65
8	10	1290.36	9648.95	375.663	1132.53
9	0	556.639	7518.52	172.776	1259.3
9	1	610.574	7814.33	185.81	1237.39
9	2	677.091	8127.76	207.22	1257.22
9	3	745.511	8427.68	223.765	1232.73
9	4	823.016	8768.42	249.033	1227.21
9	5	899.478	9115.23	266.077	1228.32
9	6	992.042	9457.02	293.082	1215.53
9	7	1092.21	9848.24	325.422	1213.69
9	8	1198.24	10268.5	349.78	1216.08
9	9	1316.92	10691	383.302	1205.96
9	10	1464.37	11174.3	427.866	1214.41
10	0	604.742	8906.2	188.616	1336.72
10	1	671.553	9236.94	204.755	1332.82
10	2	737.937	9595.22	226.3	1327.38
10	3	821.973	9960.39	254.47	1335.8
10	4	906.091	10347.5	269.579	1324.34
10	5	1008.31	10766.9	300.143	1315.23
10	6	1108.34	11200.9	326.823	1313.24
10	7	1231.89	11672.6	365.087	1327.4
10	8	1358.44	12184.6	399.243	1321.27
10	9	1511.17	12731.2	446.13	1320.04
10	10	1713.1	13399.9	505.114	1331.5
