# cu 	 al 	 SiPM_L 	 SiPM_R 	 sig_L 	 sig_R
0	0	18.9016	193.927	7.12359	75.8449
0	1	21.1937	202.237	7.7195	76.0277
0	2	23.0089	212.007	8.52949	75.6848
0	3	24.8418	221.613	8.70086	76.4518
0	4	26.861	230.499	9.27967	76.2955
0	5	28.961	240.09	9.90436	76.3797
0	6	31.2569	249.934	10.5902	76.6023
0	7	33.0653	260.246	11.1862	77.0868
0	8	35.4568	269.899	12.0483	77.0183
0	9	37.6463	280.422	12.3659	76.9408
0	10	40.0154	291.546	13.0764	76.9459
1	0	21.2321	212.739	7.90539	75.2201
1	1	23.0864	222.603	8.38982	75.1164
1	2	25.2755	232.771	8.92158	75.127
1	3	27.5371	243.547	9.5638	75.3403
1	4	29.6318	253.817	10.3848	74.8658
1	5	32.2428	264.851	11.6337	75.4013
1	6	34.2159	274.589	11.5965	74.7992
1	7	36.5831	284.805	12.1837	74.256
1	8	38.9509	297.733	13.1601	74.3223
1	9	41.5508	309.637	14.1059	74.628
1	10	44.3537	320.703	14.3094	74.5098
2	0	23.0509	234.899	8.30539	73.6007
2	1	25.6101	246.015	9.44524	73.8434
2	2	27.6912	256.594	9.7319	73.2833
2	3	30.2134	268.914	10.6265	74.2721
2	4	32.5871	279.087	11.1621	72.7941
2	5	35.0877	291.84	11.9797	73.1724
2	6	37.4973	303.104	12.4924	72.3462
2	7	40.5357	314.015	13.2821	71.7211
2	8	43.0719	328.253	14.6986	72.8859
2	9	46.124	340.449	15.0166	72.5002
2	10	49.1757	352.903	15.8883	71.3453
3	0	25.4092	262.186	9.91707	73.8712
3	1	27.9054	273.787	9.64332	73.294
3	2	30.1957	285.573	10.4687	72.9733
3	3	33.116	297.196	11.244	72.2934
3	4	35.4415	309.733	12.3141	71.6711
3	5	38.2071	323.155	12.8495	71.9529
3	6	41.2311	336.019	13.5513	71.635
3	7	44.4302	348.955	14.8219	70.4954
3	8	47.2395	362.86	15.5206	70.6283
3	9	50.6888	376.785	16.2529	69.56
3	10	55.017	392.323	17.5155	69.5307
4	0	27.3651	293.052	9.83126	73.6566
4	1	29.9526	305.971	10.3495	73.1558
4	2	33.5096	319.05	13.5833	73.0394
4	3	35.9103	331.991	12.1986	72.5245
4	4	38.5938	345.142	12.9284	71.265
4	5	41.8648	360.106	13.874	70.5746
4	6	45.5067	374.013	15.1646	70.4544
4	7	48.6159	389.401	15.9	70.4333
4	8	52.8391	404.667	17.5818	69.7398
4	9	56.1092	419.423	17.9676	68.5616
4	10	60.3295	435.937	19.2327	68.0399
5	0	29.9592	329.451	10.7478	74.9073
5	1	33.0356	344.571	12.7652	73.94
5	2	35.9041	357.671	12.4337	73.5731
5	3	38.753	371.672	13.0301	72.4057
5	4	42.5397	387.209	13.9529	72.6022
5	5	45.8231	402.226	15.294	72.2074
5	6	49.8247	420.278	16.9952	71.8167
5	7	54.0018	435.27	17.7087	71.0661
5	8	58.1378	452.531	19.1512	70.6043
5	9	62.2542	470.753	20.0864	69.9823
5	10	67.186	489.016	21.0706	69.5799
6	0	32.9128	374.203	13.3458	77.8918
6	1	35.4994	388.125	12.1803	77.3075
6	2	38.9894	403.055	13.1771	76.1333
6	3	42.7486	419.984	14.3118	75.6289
6	4	46.3522	436.374	15.552	75.5571
6	5	50.5383	454.377	16.626	74.839
6	6	54.7613	471.053	17.9509	74.3568
6	7	58.909	491.869	18.7819	74.7538
6	8	64.6301	509.779	22.8704	72.0211
6	9	68.804	530.282	21.7463	74.2164
6	10	76.1489	551.402	28.1296	72.8713
7	0	35.1577	426.117	12.4307	83.6177
7	1	39.1805	442.5	14.5817	82.0473
7	2	42.5385	459.544	15.9582	82.0004
7	3	46.1505	477.27	15.2962	81.8015
7	4	50.7999	497.33	16.7508	81.3387
7	5	55.1903	516.314	17.8397	81.049
7	6	60.122	536.607	19.4794	80.6006
7	7	64.8809	556.387	20.3332	79.7585
7	8	70.5514	579.17	22.2306	80.096
7	9	77.2226	602.619	24.4203	81.0506
7	10	84.3127	628.78	27.4087	80.6356
8	0	38.6977	490.664	15.2404	91.0169
8	1	42.3163	509.506	14.8472	90.6338
8	2	46.7627	528.445	16.7723	89.986
8	3	50.7565	549.418	16.9604	91.0669
8	4	55.64	569.875	18.5694	89.1562
8	5	61.2212	592.337	19.7114	89.5113
8	6	66.1099	615.37	21.1937	89.6791
8	7	72.2233	640.376	23.3788	90.4662
8	8	79.0794	667.045	25.1273	90.0938
8	9	86.8684	695.076	27.0169	91.0464
8	10	94.9314	724.279	29.5574	93.0916
9	0	42.8416	572.068	19.9632	102.533
9	1	45.8519	593.59	15.4615	102.597
9	2	52.005	616.987	22.5312	102.102
9	3	55.7567	640.743	18.2421	102.012
9	4	61.5891	665.458	20.1123	102.351
9	5	67.1862	691.913	21.7619	103.773
9	6	73.9675	719.258	23.4949	103.011
9	7	81.3351	750.285	26.001	104.123
9	8	89.7067	781.008	30.632	104.019
9	9	97.7033	814.05	30.5876	106.937
9	10	108.657	850.865	33.7733	109.375
10	0	45.8586	680.996	15.5957	120.191
10	1	51.0271	707.123	17.8692	119.079
10	2	55.8787	736.211	18.671	120.526
10	3	62.2777	766.837	21.5605	121.428
10	4	68.1187	796.04	22.0014	121.551
10	5	75.9816	828.923	24.8267	119.085
10	6	83.5492	864.524	26.3665	122.728
10	7	92.7387	902.298	29.4514	124.785
10	8	101.923	943.127	31.6319	125.897
10	9	113.36	984.268	36.0147	127.826
10	10	130.078	1039.86	43.8316	130.657
